ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-08-21,252.48109839188598,233.21866571763601,278.41301493907787,252.48109839188598,252.48109839188598,3.3726212105851188,3.3726212105851188,3.3726212105851188,3.3726212105851188,3.3726212105851188,3.3726212105851188,0.0,0.0,0.0,255.8537196024711
2023-08-22,252.23197266609034,234.53278939138465,280.06172783856135,252.23197266609034,252.23197266609034,6.143872736359474,6.143872736359474,6.143872736359474,6.143872736359474,6.143872736359474,6.143872736359474,0.0,0.0,0.0,258.37584540244984
2023-08-23,251.98284694029476,233.36938875296934,279.9632068961528,251.98284694029476,251.98284694029476,5.679737911973198,5.679737911973198,5.679737911973198,5.679737911973198,5.679737911973198,5.679737911973198,0.0,0.0,0.0,257.66258485226797
2023-08-24,251.73372121449913,232.43281657804377,277.33809935776355,251.73372121449913,251.73372121449913,3.306139745035505,3.306139745035505,3.306139745035505,3.306139745035505,3.306139745035505,3.306139745035505,0.0,0.0,0.0,255.03986095953462
2023-08-25,251.48459548870352,232.28830202648348,277.69174156806855,251.48459548870352,251.48459548870352,3.078910371063134,3.078910371063134,3.078910371063134,3.078910371063134,3.078910371063134,3.078910371063134,0.0,0.0,0.0,254.56350585976665
2023-08-28,250.73721831131667,233.19217865864584,277.8053977660163,250.73721831131667,250.73721831131667,3.372621210585611,3.372621210585611,3.372621210585611,3.372621210585611,3.372621210585611,3.372621210585611,0.0,0.0,0.0,254.10983952190227
2023-08-29,250.48809258552106,234.8498900705987,279.1488625668284,250.48809258552106,250.48809258552106,6.143872736363614,6.143872736363614,6.143872736363614,6.143872736363614,6.143872736363614,6.143872736363614,0.0,0.0,0.0,256.63196532188465
2023-08-30,250.23896685972542,232.73533398796746,278.2978929413893,250.23896685972542,250.23896685972542,5.679737911972201,5.679737911972201,5.679737911972201,5.679737911972201,5.679737911972201,5.679737911972201,0.0,0.0,0.0,255.91870477169763
2023-08-31,249.98984113392981,231.10273485116085,276.05945712047986,249.98984113392981,249.98984113392981,3.306139745026756,3.306139745026756,3.306139745026756,3.306139745026756,3.306139745026756,3.306139745026756,0.0,0.0,0.0,253.29598087895658
2023-09-01,249.7407154085306,229.63958519073896,275.59520955281687,249.7407154085306,249.7407154085306,3.078910371062641,3.078910371062641,3.078910371062641,3.078910371062641,3.078910371062641,3.078910371062641,0.0,0.0,0.0,252.81962577959325
